-1	-1	-1	-1
-1	-1	1000	-1
-1	-1	6722	-1
-1	0	-1	-1
-1	0	1000	-1
-1	0	6722	-1
-1	2	-1	-1
-1	2	1000	-1
-1	2	6722	-1
-1	3	-1	-1
-1	3	1000	-1
-1	3	6722	-1
-1	6	-1	-1
-1	6	1000	-1
-1	6	6722	-1
-1	11	-1	-1
-1	11	1000	-1
-1	11	6722	-1
-1	12	-1	-1
-1	12	1000	-1
-1	12	6722	-1
60	-1	-1	-1
60	-1	1000	-1
60	-1	6722	-1
60	0	-1	-1
60	0	1000	83.91
60	0	6722	-1
60	2	-1	-1
60	2	1000	84
60	2	6722	-1
60	3	-1	-1
60	3	1000	84
60	3	6722	-1
60	6	-1	-1
60	6	1000	84
60	6	6722	-1
60	11	-1	-1
60	11	1000	84
60	11	6722	-1
60	12	-1	-1
60	12	1000	-1
60	12	6722	-1
120	-1	-1	-1
120	-1	1000	-1
120	-1	6722	-1
120	0	-1	-1
120	0	1000	92.73
120	0	6722	-1
120	2	-1	-1
120	2	1000	92.73
120	2	6722	-1
120	3	-1	-1
120	3	1000	93
120	3	6722	-1
120	6	-1	-1
120	6	1000	93
120	6	6722	-1
120	11	-1	-1
120	11	1000	93
120	11	6722	-1
120	12	-1	-1
120	12	1000	-1
120	12	6722	-1
180	-1	-1	-1
180	-1	1000	-1
180	-1	6722	-1
180	0	-1	-1
180	0	1000	101.46
180	0	6722	-1
180	2	-1	-1
180	2	1000	101.46
180	2	6722	-1
180	3	-1	-1
180	3	1000	101.46
180	3	6722	-1
180	6	-1	-1
180	6	1000	102
180	6	6722	-1
180	11	-1	-1
180	11	1000	102
180	11	6722	-1
180	12	-1	-1
180	12	1000	-1
180	12	6722	-1
300	-1	-1	-1
300	-1	1000	-1
300	-1	6722	-1
300	0	-1	-1
300	0	1000	118.875
300	0	6722	-1
300	2	-1	-1
300	2	1000	118.875
300	2	6722	-1
300	3	-1	-1
300	3	1000	118.875
300	3	6722	-1
300	6	-1	-1
300	6	1000	120
300	6	6722	-1
300	11	-1	-1
300	11	1000	120
300	11	6722	-1
300	12	-1	-1
300	12	1000	-1
300	12	6722	-1
350	-1	-1	-1
350	-1	1000	-1
350	-1	6722	-1
350	0	-1	-1
350	0	1000	125.925
350	0	6722	-1
350	2	-1	-1
350	2	1000	125.925
350	2	6722	-1
350	3	-1	-1
350	3	1000	125.925
350	3	6722	-1
350	6	-1	-1
350	6	1000	125.925
350	6	6722	-1
350	11	-1	-1
350	11	1000	127.5
350	11	6722	-1
350	12	-1	-1
350	12	1000	-1
350	12	6722	-1
44641	-1	-1	-1
44641	-1	1000	-1
44641	-1	6722	-1
44641	0	-1	-1
44641	0	1000	-1
44641	0	6722	-1
44641	2	-1	-1
44641	2	1000	-1
44641	2	6722	-1
44641	3	-1	-1
44641	3	1000	-1
44641	3	6722	-1
44641	6	-1	-1
44641	6	1000	-1
44641	6	6722	-1
44641	11	-1	-1
44641	11	1000	-1
44641	11	6722	-1
44641	12	-1	-1
44641	12	1000	-1
44641	12	6722	-1
